location,total_sqft,bath,price,bhk
Aurangpura Block 39,1264,2,57.6,2
Aurangpura Block 39,1768,1,87.43,4
Aurangpura Block 39,1106,1,51.4,3
Aurangpura Block 39,1727,1,103.88,4
Aurangpura Block 39,2667,5,126.45,4
Aurangpura Block 50,4589,1,202.3,5
Aurangpura Block 50,1591,3,72.14,3
Aurangpura Block 50,4999,1,290.55,5
Aurangpura Central 26,2697,2,132.02,4
Aurangpura Central 26,1150,3,62.44,2
Aurangpura Central 26,2924,3,163.28,4
Aurangpura Central 26,2910,3,122.44,5
Aurangpura Central 26,1758,2,78.97,4
Aurangpura Central 26,1335,3,55.84,3
Aurangpura Central 26,2159,2,108.14,4
Aurangpura Central 26,1629,4,81.16,3
Aurangpura Central 58,1543,1,65.27,3
Aurangpura Central 58,4366,2,191.72,5
Aurangpura Central 58,4523,4,171.55,5
Aurangpura Central 58,741,1,32.54,2
Aurangpura Central 58,987,1,36.37,2
Aurangpura Central 58,598,2,25.09,1
Aurangpura Central 58,4613,1,215.69,5
Aurangpura Central 58,1190,1,44.99,2
Aurangpura Central 58,3346,2,146.38,5
Aurangpura Central 58,1974,3,81.03,4
Aurangpura Central 59,1855,3,111.26,4
Aurangpura Central 59,1243,3,75.65,3
Aurangpura Central 59,559,1,32.78,1
Aurangpura Central 59,3642,4,189.76,5
Aurangpura Central 9,848,2,43.68,2
Aurangpura Central 9,2787,4,121.12,4
Aurangpura Central 9,1081,1,50.36,2
Aurangpura Central 9,1084,1,45.67,3
Aurangpura Central 9,3160,4,149.32,5
Aurangpura East 13,2262,5,133.42,4
Aurangpura East 13,4747,3,278.23,5
Aurangpura East 13,4563,5,274.71,5
Aurangpura East 13,1864,2,113.38,4
Aurangpura East 13,1427,2,81.56,3
Aurangpura East 13,1104,1,62.44,2
Aurangpura East 13,571,2,25.99,1
Aurangpura East 37,1392,1,69.12,3
Aurangpura East 37,2742,4,121.69,5
Aurangpura East 37,1196,2,61.42,2
Aurangpura East 37,1284,3,73.93,3
Aurangpura East 37,1516,3,86.81,3
Aurangpura East 37,1215,1,63.95,2
Aurangpura Enclave 46,703,2,30.83,1
Aurangpura Enclave 46,2785,3,162.98,5
Aurangpura Enclave 46,1143,1,53.0,3
Aurangpura Enclave 46,593,1,29.59,1
Aurangpura Enclave 46,862,2,39.48,2
Aurangpura Enclave 51,1294,3,67.19,3
Aurangpura Enclave 51,3223,1,181.14,5
Aurangpura Enclave 51,1338,3,76.17,3
Aurangpura Enclave 51,722,1,40.88,2
Aurangpura Enclave 51,2045,3,99.0,4
Aurangpura Enclave 51,2067,2,114.98,4
Aurangpura Enclave 51,3746,5,196.63,5
Aurangpura Enclave 54,1776,3,90.56,4
Aurangpura Enclave 54,891,2,37.97,2
Aurangpura Enclave 54,830,2,37.44,2
Aurangpura Enclave 54,2648,3,129.98,5
Aurangpura Enclave 54,1353,1,50.05,3
Aurangpura Extension 34,1744,4,83.91,3
Aurangpura Extension 34,1197,3,51.36,2
Aurangpura Extension 34,1207,2,63.07,2
Aurangpura Extension 34,2712,1,118.44,4
Aurangpura Extension 34,770,2,42.05,2
Aurangpura Extension 34,2931,5,149.0,4
Aurangpura North 11,1132,1,50.55,3
Aurangpura North 11,1869,1,87.69,4
Aurangpura North 11,1440,1,64.1,3
Aurangpura North 11,1359,4,67.98,3
Aurangpura North 11,1128,2,55.15,2
Aurangpura Phase 10,2340,4,97.61,4
Aurangpura Phase 10,1400,4,60.45,3
Aurangpura Phase 10,4775,2,209.91,5
Aurangpura Phase 10,4498,4,201.9,5
Aurangpura Phase 10,1729,3,69.93,3
Aurangpura Phase 10,724,1,34.83,2
Aurangpura Phase 16,2478,1,139.46,4
Aurangpura Phase 16,2598,1,145.06,4
Aurangpura Phase 16,1447,4,82.44,3
Aurangpura Phase 16,1960,3,104.45,4
Aurangpura Phase 8,1152,2,47.26,3
Aurangpura Phase 8,2601,4,126.24,4
Aurangpura Phase 8,622,1,30.66,1
Aurangpura Phase 8,2020,3,81.72,4
Aurangpura Phase 8,984,3,54.9,2
Aurangpura Sector 20,2306,1,116.79,4
Aurangpura Sector 20,2864,3,147.06,4
Aurangpura Sector 20,1063,3,59.32,3
Aurangpura Sector 20,428,1,20.97,1
Aurangpura Sector 20,3857,5,208.47,5
Aurangpura Sector 20,1070,4,53.63,3
Aurangpura Sector 20,2473,4,118.49,4
Aurangpura Sector 30,1118,3,58.09,3
Aurangpura Sector 30,1372,2,80.58,3
Aurangpura Sector 30,1090,1,57.38,3
Aurangpura Sector 30,1159,1,56.68,3
Aurangpura Sector 30,2724,4,156.21,5
Aurangpura Sector 30,1006,3,50.4,2
Aurangpura Sector 30,3115,5,172.66,5
Aurangpura South 15,4060,4,161.9,5
Aurangpura South 15,4355,3,188.33,5
Aurangpura South 15,1091,1,49.75,3
Aurangpura South 15,469,2,21.44,1
Aurangpura South 15,783,1,37.61,1
Aurangpura South 15,1507,3,79.53,3
Aurangpura South 15,4120,4,201.13,5
Aurangpura West 3,1329,3,58.84,3
Aurangpura West 3,1705,4,68.32,3
Aurangpura West 3,1153,3,50.13,3
Aurangpura West 3,1480,4,76.67,3
Aurangpura West 3,750,1,29.19,1
Aurangpura West 41,1216,3,68.43,2
Aurangpura West 41,918,3,37.38,2
Aurangpura West 41,1110,1,60.4,2
Aurangpura West 41,1621,3,88.25,4
Aurangpura West 41,4519,2,200.45,5
Aurangpura West 41,839,1,35.21,2
Baijipura Block 4,1102,3,54.49,2
Baijipura Block 4,2508,5,109.74,4
Baijipura Block 4,1263,3,58.44,3
Baijipura Block 4,928,2,48.5,2
Baijipura Block 53,2103,2,124.02,4
Baijipura Block 53,1359,4,69.3,3
Baijipura Block 53,1897,3,113.5,4
Baijipura Block 53,2525,3,140.35,4
Baijipura Central 21,2738,2,109.42,4
Baijipura Central 21,1077,2,42.19,2
Baijipura Central 21,851,2,36.9,2
Baijipura Central 38,860,3,50.4,2
Baijipura Central 38,1273,2,62.55,2
Baijipura Central 38,2844,2,148.12,5
Baijipura Central 38,1469,4,76.74,3
Baijipura Central 38,2329,1,98.25,4
Baijipura Central 38,2788,2,154.88,4
Baijipura Central 38,1704,4,70.84,3
Baijipura Enclave 32,4258,5,199.56,5
Baijipura Enclave 32,1099,3,49.16,2
Baijipura Enclave 32,4675,3,205.26,5
Baijipura Enclave 32,3910,5,207.71,5
Baijipura Enclave 32,2799,3,134.45,4
Baijipura Enclave 32,3339,3,160.63,5
Baijipura Enclave 32,1604,2,88.46,4
Baijipura Enclave 32,1591,1,75.71,3
Baijipura Extension 55,1117,2,55.28,2
Baijipura Extension 55,1217,3,61.98,2
Baijipura Extension 55,644,2,30.6,1
Baijipura Extension 55,876,2,45.87,2
Baijipura Extension 55,1040,3,57.65,2
Baijipura Extension 55,924,3,46.79,2
Baijipura Extension 55,4485,5,228.19,5
Baijipura North 16,724,2,30.15,2
Baijipura North 16,1087,2,53.57,2
Baijipura North 16,721,3,36.36,2
Baijipura North 16,1231,1,53.35,3
Baijipura North 16,1220,1,57.38,3
Baijipura North 16,1517,1,71.02,3
Baijipura North 16,1305,4,65.89,3
Baijipura North 16,2473,2,106.04,4
Baijipura North 2,1596,2,87.25,3
Baijipura North 2,659,2,37.79,1
Baijipura North 2,1628,4,80.97,3
Baijipura North 2,966,2,53.4,2
Baijipura North 44,784,2,40.35,2
Baijipura North 44,1927,1,97.26,4
Baijipura North 44,1785,3,100.0,3
Baijipura North 44,1706,1,97.24,3
Baijipura Phase 45,4121,5,162.46,5
Baijipura Phase 45,2840,4,112.33,4
Baijipura Phase 45,2765,4,121.47,4
Baijipura Phase 45,2265,5,93.08,4
Baijipura Phase 45,1149,3,48.12,2
Baijipura Phase 45,2812,4,139.21,5
Baijipura Phase 45,1094,1,51.49,2
Baijipura Sector 29,2668,5,122.86,4
Baijipura Sector 29,1874,5,90.29,4
Baijipura Sector 29,3788,2,153.15,5
Baijipura Sector 29,1599,4,73.35,3
Baijipura Sector 29,4148,1,210.83,5
Baijipura Sector 3,3344,2,135.31,5
Baijipura Sector 3,3110,2,174.91,5
Baijipura Sector 3,700,1,32.64,2
Baijipura Sector 3,1038,2,54.68,3
Baijipura Sector 3,1567,1,78.45,3
Baijipura Sector 40,1244,1,68.4,2
Baijipura Sector 40,4073,5,176.47,5
Baijipura Sector 40,793,2,32.23,1
Baijipura Sector 40,916,3,49.86,2
Baijipura Sector 5,2068,2,103.07,4
Baijipura Sector 5,1482,2,69.25,3
Baijipura Sector 5,3208,2,188.14,5
Baijipura Sector 5,1428,2,86.26,3
Baijipura Sector 5,657,1,34.08,1
Baijipura Sector 5,1753,2,106.18,3
Baijipura South 27,2921,2,120.28,4
Baijipura South 27,1368,4,58.76,3
Baijipura South 27,1969,1,108.21,4
Baijipura South 27,1119,1,64.91,2
Baijipura South 27,1777,3,103.74,3
Baijipura South 27,2186,1,125.36,4
Baijipura South 57,1000,4,46.78,3
Baijipura South 57,3631,3,166.63,5
Baijipura South 57,755,2,41.63,1
Baijipura South 57,757,2,38.64,1
Baijipura South 57,1171,1,54.55,3
