area_type,availability,location,size,society,total_sqft,bath,balcony,price
Carpet  Area,Dec 2024,Shivaji Nagar East 27,1 BHK,Lake View,447,3,1,26.14
Plot  Area,18 Months,Jalna Road Extension 37,3 Bedroom,,1013,1,3,49.71
Super built-up  Area,Immediate Possession,Vedant Nagar Central 42,3 BHK,,1490,2,2,65.86
Carpet  Area,Immediate Possession,MGM Campus East 9,2 BHK,Green Park,730,5,0,35.93
Carpet  Area,Dec 2024,Waluj MIDC Enclave 41,3 BHK,Sai Residency,1005,2,0,36.34
Built-up  Area,Dec 2024,Harsul Phase 54,5 BHK,Rose Garden,3653,2,2,140.33
Carpet  Area,Ready To Move,Waluj MIDC Phase 44,3 Bedroom,Lake View,1299,3,1,50.69
Super built-up  Area,Ready To Move,Padegaon Block 6,1 BHK,,670,5,3,27.95
Carpet  Area,Dec 2024,Waluj MIDC North 38,3 Bedroom,Golden Nest,1346,1,2,56.59
Carpet  Area,Ready To Move,Seven Hills Central 7,1 BHK,Lake View,445,3,1,23.76
Built-up  Area,Under Construction,Cantonment South 58,5 BHK,Sunshine Towers,3369,5,2,130.22
Carpet  Area,Ready To Move,Baijipura Block 36,3 BHK,Sunshine Towers,1750,2,2,76.73
Carpet  Area,Under Construction,Harsul Extension 47,3 Bedroom,Lake View,1254,3,3,52.52
Super built-up  Area,18 Months,Padegaon Central 37,2 Bedroom,Sai Residency,895,4,1,34.08
Carpet  Area,Ready To Move,Beed Bypass South 11,2 BHK,Nilgiri Heights,1027,4,2,45.25
Built-up  Area,Under Construction,Harsul Extension 18,4 BHK,Rose Garden,1733,5,1,71.33
Super built-up  Area,Under Construction,Shivaji Nagar Extension 46,4 BHK,Rose Garden,2410,2,0,108.11
Carpet  Area,Ready To Move,Jalna Road Central 42,2 BHK,Sai Residency,1222,2,1,43.24
Super built-up  Area,Under Construction,Paithan Road Enclave 32,4 BHK,,2810,5,2,151.61
Built-up  Area,Ready To Move,Garkheda East 1,3 Bedroom,Green Park,1796,3,0,75.47
Super built-up  Area,Under Construction,Aurangpura North 11,3 BHK,Green Park,1132,1,2,50.55
Super built-up  Area,Under Construction,Vedant Nagar Sector 48,5 BHK,Sunshine Towers,3746,4,3,167.22
Super built-up  Area,Under Construction,CIDCO North 53,3 Bedroom,Rose Garden,1383,1,1,68.18
Super built-up  Area,18 Months,Nakshtrawadi Phase 38,4 BHK,Golden Nest,1770,3,2,88.78
Plot  Area,18 Months,Mukundwadi Extension 32,1 BHK,Sunshine Towers,474,1,1,17.85
Super built-up  Area,18 Months,Seven Hills Phase 59,2 Bedroom,Green Park,1113,3,1,42.33
Super built-up  Area,Dec 2024,Usmanpura East 38,2 Bedroom,Rose Garden,734,5,2,44.45
Carpet  Area,Dec 2024,Jalna Road East 58,1 BHK,,675,2,0,43.61
Super built-up  Area,Ready To Move,Baijipura Enclave 32,5 BHK,,4258,5,3,199.56
Built-up  Area,Ready To Move,Beed Bypass Central 26,5 BHK,Golden Nest,3178,1,2,177.06
Super built-up  Area,Dec 2024,Garkheda Enclave 50,2 BHK,Green Park,991,4,0,48.82
Carpet  Area,Dec 2024,Mukundwadi North 22,2 Bedroom,Golden Nest,1193,3,1,67.9
Carpet  Area,18 Months,Hudco Extension 55,2 Bedroom,Sunshine Towers,995,4,0,44.63
Carpet  Area,Dec 2024,Waluj MIDC Extension 52,2 BHK,Golden Nest,1097,4,3,70.37
Carpet  Area,Dec 2024,Seven Hills Extension 29,5 BHK,Lake View,2501,5,2,153.42
Super built-up  Area,Immediate Possession,Usmanpura Extension 4,3 Bedroom,Sai Residency,1200,3,1,66.47
Built-up  Area,Dec 2024,Harsul North 52,1 BHK,Lake View,662,5,3,36.01
Built-up  Area,Under Construction,Harsul Central 33,4 BHK,Lake View,2427,2,3,100.57
Plot  Area,Dec 2024,CIDCO Phase 1,5 BHK,Golden Nest,3607,5,2,207.01
Super built-up  Area,Immediate Possession,Cantonment South 13,3 BHK,Sai Residency,1538,2,2,85.57
Carpet  Area,Immediate Possession,Waluj MIDC Enclave 35,1 BHK,Sunshine Towers,794,1,0,45.63
Carpet  Area,Under Construction,Waluj MIDC North 38,3 Bedroom,Sai Residency,1482,5,2,67.38
Built-up  Area,Dec 2024,Cantonment South 36,2 Bedroom,Rose Garden,888,2,2,33.39
Built-up  Area,18 Months,Seven Hills East 28,2 Bedroom,Sai Residency,1250,2,0,67.39
Carpet  Area,Dec 2024,Usmanpura Central 43,2 BHK,Sunshine Towers,963,2,0,57.72
Carpet  Area,Under Construction,Jalna Road Phase 19,5 BHK,Green Park,4358,2,0,163.57
Carpet  Area,Dec 2024,Seven Hills East 6,5 BHK,Green Park,4495,2,0,217.73
Carpet  Area,Under Construction,Garkheda Enclave 37,3 Bedroom,Nilgiri Heights,1439,1,3,78.29
Plot  Area,Under Construction,Vedant Nagar West 58,3 Bedroom,Green Park,1613,4,2,102.21
Built-up  Area,18 Months,MGM Campus Sector 52,2 BHK,Green Park,768,2,2,46.65
Carpet  Area,Immediate Possession,Cantonment Block 59,1 BHK,Rose Garden,774,1,1,32.64
Plot  Area,Ready To Move,Usmanpura Extension 28,2 BHK,Sai Residency,1205,5,3,53.94
Plot  Area,18 Months,Paithan Road Sector 58,4 BHK,Rose Garden,2202,4,0,132.53
Super built-up  Area,Immediate Possession,Usmanpura Central 10,2 BHK,Golden Nest,1004,2,0,60.8
Built-up  Area,Ready To Move,Aurangpura Phase 44,3 BHK,Golden Nest,1259,1,3,67.83
Plot  Area,18 Months,Garkheda Phase 51,4 BHK,Rose Garden,2412,3,3,101.54
Super built-up  Area,Ready To Move,Shendra MIDC West 21,4 BHK,Rose Garden,2602,1,2,123.16
Built-up  Area,Ready To Move,Pundlik Nagar Extension 57,1 BHK,Sai Residency,751,4,1,44.91
Super built-up  Area,Immediate Possession,Aurangpura Sector 30,3 BHK,,1118,3,0,58.09
Carpet  Area,Immediate Possession,Paithan Road Central 15,5 BHK,,3222,3,2,152.59
Carpet  Area,Dec 2024,Nirala Bazaar East 52,2 BHK,Golden Nest,756,1,1,42.64
Super built-up  Area,Ready To Move,Beed Bypass Extension 39,3 BHK,,1741,1,0,61.79
Carpet  Area,Under Construction,CIDCO West 38,3 BHK,,1043,5,1,43.99
Built-up  Area,Immediate Possession,Nakshtrawadi Extension 21,2 BHK,Rose Garden,767,5,1,34.26
Carpet  Area,Dec 2024,Kranti Chowk West 28,3 BHK,Sunshine Towers,1771,3,3,80.57
Built-up  Area,Dec 2024,Shahgunj Sector 7,2 BHK,Sunshine Towers,1219,5,3,75.54
Plot  Area,Ready To Move,Seven Hills South 10,4 BHK,,2652,5,0,169.57
Super built-up  Area,Ready To Move,Seven Hills East 48,1 BHK,Nilgiri Heights,666,3,2,33.23
Plot  Area,Ready To Move,Garkheda West 3,2 Bedroom,Rose Garden,1262,1,0,76.19
Built-up  Area,18 Months,Jalna Road East 38,4 BHK,Sunshine Towers,2016,1,2,99.49
Carpet  Area,Ready To Move,Jalna Road East 36,3 BHK,Sunshine Towers,1548,5,2,65.56
Built-up  Area,Under Construction,Baijipura Phase 12,3 Bedroom,Golden Nest,1116,2,2,64.07
Built-up  Area,Ready To Move,Padegaon Block 1,2 BHK,Sunshine Towers,929,5,2,37.97
Built-up  Area,Immediate Possession,Baijipura South 57,3 Bedroom,Lake View,1000,4,1,46.78
Built-up  Area,Immediate Possession,Waluj MIDC North 33,3 Bedroom,Rose Garden,1175,2,2,57.16
Plot  Area,Under Construction,Cantonment Extension 21,2 BHK,Nilgiri Heights,816,1,2,37.85
Plot  Area,Ready To Move,Beed Bypass West 24,5 BHK,Sunshine Towers,4740,2,3,250.8
Plot  Area,Ready To Move,Mukundwadi Enclave 46,2 Bedroom,Sai Residency,977,1,3,53.61
Built-up  Area,Dec 2024,Garkheda Enclave 37,3 BHK,Sai Residency,1123,4,0,46.55
Plot  Area,Ready To Move,Garkheda East 1,2 Bedroom,Sunshine Towers,1176,4,3,59.34
Built-up  Area,Under Construction,Cantonment South 13,2 BHK,Sunshine Towers,932,1,1,54.73
Carpet  Area,Under Construction,Cantonment Block 29,2 Bedroom,Green Park,722,4,2,40.07
Super built-up  Area,18 Months,Usmanpura Sector 59,5 BHK,Green Park,4728,3,2,230.99
Super built-up  Area,Under Construction,Mukundwadi Phase 14,5 BHK,Lake View,4475,2,1,195.72
Built-up  Area,Under Construction,Pundlik Nagar Sector 31,2 Bedroom,Golden Nest,736,1,3,28.63
Plot  Area,Ready To Move,Harsul Enclave 21,5 BHK,Rose Garden,3568,1,2,129.25
Carpet  Area,Under Construction,Usmanpura Phase 15,3 Bedroom,Sai Residency,1638,2,0,84.58
Built-up  Area,18 Months,Jalna Road Enclave 59,2 BHK,Sunshine Towers,1238,1,0,74.08
Super built-up  Area,Ready To Move,Beed Bypass Central 7,3 BHK,Green Park,1039,3,2,53.02
Super built-up  Area,Ready To Move,Satara Area West 51,2 BHK,Rose Garden,797,2,0,40.1
Super built-up  Area,18 Months,Kranti Chowk Extension 40,1 BHK,Nilgiri Heights,751,2,3,43.94
Built-up  Area,Immediate Possession,Garkheda East 11,3 Bedroom,Nilgiri Heights,1206,3,3,57.26
Plot  Area,Immediate Possession,Shahgunj Block 3,3 BHK,Nilgiri Heights,1484,4,2,66.93
Built-up  Area,Under Construction,CIDCO North 33,3 BHK,Nilgiri Heights,1529,2,2,73.26
Plot  Area,Immediate Possession,Paithan Road Central 15,3 Bedroom,Rose Garden,1443,5,1,83.35
Built-up  Area,18 Months,Aurangpura Sector 20,4 BHK,Rose Garden,2306,1,1,116.79
Plot  Area,Immediate Possession,Baijipura Central 21,2 BHK,Nilgiri Heights,1002,5,3,40.85
Super built-up  Area,Ready To Move,Jalna Road Sector 9,5 BHK,,4690,2,2,241.85
Built-up  Area,Immediate Possession,Shivaji Nagar Enclave 12,1 BHK,Green Park,535,1,2,19.65
Plot  Area,Ready To Move,Garkheda Block 46,3 Bedroom,Sunshine Towers,1282,1,3,47.84
Built-up  Area,Dec 2024,Nakshtrawadi South 26,2 BHK,Rose Garden,1157,2,0,71.38
Plot  Area,Under Construction,Padegaon Extension 35,2 Bedroom,,848,4,0,49.61
Super built-up  Area,Under Construction,Nirala Bazaar Extension 43,1 BHK,Rose Garden,404,1,3,17.92
Super built-up  Area,Dec 2024,Harsul Phase 26,1 BHK,Green Park,766,4,1,45.01
Carpet  Area,Under Construction,Padegaon East 39,3 Bedroom,Rose Garden,1146,5,3,59.04
Carpet  Area,18 Months,Jalna Road South 35,3 Bedroom,Green Park,1033,4,0,66.63
Super built-up  Area,Under Construction,Aurangpura Phase 8,3 Bedroom,Sai Residency,1152,2,2,47.26
Super built-up  Area,Dec 2024,Usmanpura Phase 23,3 BHK,Rose Garden,1042,1,3,62.87
Built-up  Area,Ready To Move,Shendra MIDC West 6,5 BHK,Sunshine Towers,4620,5,1,220.46
Built-up  Area,Dec 2024,Mukundwadi Block 51,3 BHK,Sunshine Towers,1726,5,3,107.77
Carpet  Area,Under Construction,Cantonment West 45,1 BHK,Green Park,765,1,3,30.72
Carpet  Area,Dec 2024,Shivaji Nagar Enclave 44,4 BHK,Golden Nest,1940,3,3,119.58
Carpet  Area,Immediate Possession,Harsul Phase 27,3 Bedroom,Golden Nest,1762,5,2,95.98
Carpet  Area,Immediate Possession,CIDCO South 35,4 BHK,Lake View,2291,2,2,133.58
Built-up  Area,Under Construction,Cantonment Enclave 43,3 BHK,Golden Nest,1365,2,3,77.06
Carpet  Area,Immediate Possession,Nakshtrawadi Extension 21,2 Bedroom,Sai Residency,1226,5,3,54.77
Built-up  Area,Ready To Move,Jalna Road Block 57,3 BHK,Green Park,1776,2,2,82.58
Carpet  Area,Dec 2024,Aurangpura Enclave 51,2 Bedroom,Sai Residency,844,4,0,40.77
Built-up  Area,Immediate Possession,Mukundwadi Central 52,2 Bedroom,,1230,2,1,75.38
Plot  Area,18 Months,Harsul Sector 8,5 BHK,Sai Residency,2939,3,3,116.28
Carpet  Area,Dec 2024,Shahgunj Extension 41,5 BHK,Rose Garden,2759,1,2,171.23
Built-up  Area,Dec 2024,Pundlik Nagar Sector 33,3 BHK,Nilgiri Heights,1012,4,2,46.96
Plot  Area,Ready To Move,Waluj MIDC East 16,2 Bedroom,,957,3,1,39.81
Super built-up  Area,Under Construction,Garkheda East 15,2 Bedroom,Golden Nest,960,2,2,42.02
Plot  Area,18 Months,Aurangpura Phase 28,2 Bedroom,Golden Nest,1140,5,3,52.07
